FW-W3-301
1.00000 	-0.00891
0.98338 	-0.00558
0.96457 	-0.00261
0.94364 	-0.00051
0.92071 	0.00058
0.89588 	0.0004
0.86927 	-0.00134
0.84101 	-0.00479
0.81124 	-0.01002
0.78009 	-0.01715
0.74772 	-0.02631
0.71428 	-0.03722
0.67993 	-0.04966
0.64484 	-0.06318
0.60917 	-0.07722
0.57310 	-0.09116
0.53680 	-0.10442
0.50044 	-0.11652
0.46420 	-0.1271
0.42825 	-0.13591
0.39277 	-0.14283
0.35792 	-0.1478
0.32387 	-0.1508
0.29079 	-0.15188
0.25883 	-0.15108
0.22814 	-0.14847
0.19889 	-0.14411
0.17119 	-0.1381
0.14519 	-0.13052
0.12102 	-0.12155
0.09878 	-0.11136
0.07859 	-0.10018
0.06053 	-0.08825
0.04471 	-0.07582
0.03119 	-0.06312
0.02004 	-0.05035
0.01131 	-0.03764
0.00504 	-0.02502
0.00127 	-0.01256
0.00000	-0.00119
0.00127 	0.01326 
0.00504 	0.02667 
0.01131 	0.04001 
0.02004 	0.05339 
0.03119 	0.06655 
0.04471 	0.07938 
0.06053 	0.09167 
0.07859 	0.10323 
0.09878 	0.11385 
0.12102 	0.12332 
0.14519 	0.13146 
0.17119 	0.13814 
0.19889 	0.14325 
0.22814 	0.14673 
0.25883 	0.14866 
0.29079 	0.14908 
0.32387 	0.14807 
0.35792 	0.14578 
0.39277 	0.14230 
0.42825 	0.13776 
0.46420 	0.13229 
0.50044 	0.12601 
0.53680 	0.11909 
0.57310 	0.11169 
0.60917 	0.10391 
0.64484 	0.09587 
0.67993 	0.08766 
0.71428 	0.07939 
0.74772 	0.07116 
0.78009 	0.06309 
0.81124 	0.05528 
0.84101 	0.04780 
0.86927 	0.04074 
0.89588 	0.03417 
0.92071 	0.02812 
0.94364 	0.02266 
0.96457 	0.01775 
0.98338 	0.01333 
1.00000 	0.00937

