Circular Foil
 1.0     4.84125827012e-19
0.9999965314    0.00161359957287
0.999955539794  0.00644766180081
0.999785697116  0.0144809807133
0.999336221663  0.0256749501135
0.998399027423  0.0399688722987
0.996711735487  0.0572737874208
0.993963106825  0.0774653850958
0.989816005615  0.100378250295
0.983913541813  0.125798133723
0.975872132713  0.153452727424
0.965306094566  0.183005986168
0.951857400652  0.214060396064
0.935206713147  0.246156791384
0.915071339476  0.278768276321
0.891254046736  0.311323299512
0.863614800402  0.343188702438
0.83214689828   0.373732496355
0.796923785335  0.402289202543
0.75813618399   0.42820741434
0.716100223596  0.450885472839
0.671231069001  0.469768152525
0.624039814529  0.484366920169
0.575130609811  0.494324448712
0.525162380167  0.499363416852
0.474837619833  0.499363416852
0.424869390189  0.494324448712
0.375960185471  0.484366920169
0.328768930999  0.469768152525
0.283899776404  0.450885472839
0.24186381601   0.42820741434
0.203076214665  0.402289202543
0.16785310172   0.373732496355
0.136385199598  0.343188702438
0.108745953264  0.311323299512
0.084928660524  0.278768276321
0.0647932868531 0.246156791384
0.0481425993483 0.214060396064
0.0346939054337 0.183005986168
0.0241278672866 0.153452727424
0.016086458187  0.125798133723
0.0101839943851 0.100378250295
0.00603689317495        0.0774653850958
0.00328826451295        0.0572737874208
0.00160097257724        0.0399688722987
0.000663778337437       0.0256749501135
0.000214302883872       0.0144809807133
4.44602063052e-05       0.00644766180081
3.46860043253e-06       0.00161359957287
2.01719094588e-20       1.61375275671e-19
3.46860043253e-06       -0.00161359957287
4.44602063052e-05       -0.00644766180081
0.000214302883872       -0.0144809807133
0.000663778337437       -0.0256749501135
0.00160097257724        -0.0399688722987
0.00328826451295        -0.0572737874208
0.00603689317495        -0.0774653850958
0.0101839943851 -0.100378250295
0.016086458187  -0.125798133723
0.0241278672866 -0.153452727424
0.0346939054337 -0.183005986168
0.0481425993483 -0.214060396064
0.0647932868531 -0.246156791384
0.084928660524  -0.278768276321
0.108745953264  -0.311323299512
0.136385199598  -0.343188702438
0.16785310172   -0.373732496355
0.203076214665  -0.402289202543
0.24186381601   -0.42820741434
0.283899776404  -0.450885472839
0.328768930999  -0.469768152525
0.375960185471  -0.484366920169
0.424869390189  -0.494324448712
0.474837619833  -0.499363416852
0.525162380167  -0.499363416852
0.575130609811  -0.494324448712
0.624039814529  -0.484366920169
0.671231069001  -0.469768152525
0.716100223596  -0.450885472839
0.75813618399   -0.42820741434
0.796923785335  -0.402289202543
0.83214689828   -0.373732496355
0.863614800402  -0.343188702438
0.891254046736  -0.311323299512
0.915071339476  -0.278768276321
0.935206713147  -0.246156791384
0.951857400652  -0.214060396064
0.965306094566  -0.183005986168
0.975872132713  -0.153452727424
0.983913541813  -0.125798133723
0.989816005615  -0.100378250295
0.993963106825  -0.0774653850958
0.996711735487  -0.0572737874208
0.998399027423  -0.0399688722987
0.999336221663  -0.0256749501135
0.999785697116  -0.0144809807133
0.999955539794  -0.00644766180081
0.9999965314    -0.00161359957287
1.0     0.0
