NACA 64(3)-618
1.0     -1.07626747606e-19
0.998996849849  0.000389743029342
0.995970063102  0.00148807859726
0.990880414717  0.00312312907794
0.983704425264  0.00514215650197
0.974488642781  0.00758507858172
0.963293008743  0.0105090295434
0.95015653344   0.0138809445022
0.935142261068  0.0177201759824
0.918316599303  0.0220295488824
0.899750199494  0.0267972496404
0.879519675948  0.0320049064721
0.857705759458  0.0376217784056
0.83439302045   0.0436050753683
0.809669048717  0.049897998016
0.783624556112  0.0564310709176
0.756353528997  0.0631233119965
0.72795363083   0.0698841105586
0.698526616708  0.0766148417348
0.668182501593  0.0832276684268
0.637033611889  0.0896201069033
0.605193147956  0.0956644269858
0.572783879846  0.101249529037
0.539933990999  0.106259191876
0.506777935927  0.110576047861
0.473457012012  0.114079418358
0.440119995033  0.116642659151
0.406922966746  0.118079930132
0.374038572775  0.118050532457
0.341658903855  0.116702632314
0.309951771563  0.114314597596
0.279072405944  0.111013927044
0.24916808347   0.106900093435
0.220380375305  0.10205507661
0.192845387758  0.0965535932933
0.166692509125  0.0904731184898
0.142046374877  0.0838858840323
0.119023891573  0.0768717401094
0.0977378226042 0.069506373706
0.0782940389446 0.0618729647558
0.0607933431295 0.0540563313564
0.0453377903806 0.0461364710355
0.0320190115939 0.0382183078804
0.0209275765051 0.0304192708356
0.0121639099917 0.0228715592491
0.00584470203012        0.0157466179006
0.0020516195588 0.00934499231062
0.000414805756284       0.00426515067419
2.52604350167e-05       0.00107414460246
2.11691339934e-22       -1.35482457557e-20
2.52066266272e-05       -0.00105035550481
0.00040053990263        -0.00417179742373
0.00196397109283        -0.00915060985439
0.00601303875088        -0.0151738880625
0.0132438476807 -0.0210235974976
0.023233142428  -0.0263201990179
0.0355978046819 -0.0311079771022
0.0501009670833 -0.0354995106713
0.0665905059701 -0.0395692697506
0.0849521588751 -0.043341012348
0.105084073179  -0.0468100149713
0.126879864829  -0.0500012299738
0.150238323772  -0.0528951046701
0.175053743015  -0.0554750635567
0.201216812829  -0.0577150282103
0.228613744837  -0.0595817077206
0.257125613435  -0.0610425302702
0.286629051004  -0.0620541122218
0.316995810926  -0.0625572698625
0.348091970062  -0.0624848498313
0.379776486575  -0.0617241708196
0.411890588428  -0.0600042173326
0.444266104642  -0.0572075866697
0.476774766897  -0.0536902845271
0.509290246139  -0.0496477946272
0.541685902932  -0.0452073841306
0.573838725711  -0.0404910352816
0.605627901803  -0.035610193766
0.636934678493  -0.030669027462
0.667643425484  -0.0257723290732
0.69764205484   -0.0210291645446
0.726816452432  -0.016518203957
0.755054095388  -0.0123095347058
0.782245794997  -0.00847505625685
0.808283545854  -0.00507307240932
0.83306167053   -0.00215381599672
0.856475968585  0.000250431340893
0.878424815476  0.00212423933821
0.898809802365  0.00347050379324
0.917536690058  0.00430908234246
0.934518058551  0.00467703692929
0.949673202667  0.00461969167658
0.962930052418  0.00421563432709
0.974224910954  0.00353014021168
0.983512024054  0.00269942987688
0.990746690857  0.00180104768011
0.995898657547  0.000913261909752
0.998976808817  0.00024757743352
1.0     0.0
